model,language,roi_name,roi_family,mean_z_raw,mean_z_shared,mean_z_specific,mean_z_mismatched,delta_shared_specific,p_perm,q_fdr,n_subjects
nllb_encoder,en,R_OccipitalPole,control,0.019200821480319444,0.028214118680740315,0.008954761840202989,-0.001496167774652927,0.019259356840537332,0.0014998500149985001,0.0016873312668733125,31
nllb_encoder,en,R_Precentral,control,0.015017788724931265,0.012273232250264672,0.004598489573804535,-0.013030825347621995,0.00767474267646014,0.1533846615338466,0.1533846615338466,31
nllb_encoder,en,L_AG,semantic,0.08046461007725679,0.08367196088705713,0.04260811142979153,-0.009404439829641264,0.04106384945726557,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,L_IFGtri,semantic,0.1234153342457248,0.13027084231925531,0.08145512879158769,-0.0009836505588585265,0.04881571352766762,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,L_TemporalPole,semantic,0.08834463958391184,0.0902997704320959,0.05642277472058738,0.005780635213154312,0.03387699571150852,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,L_pMTG,semantic,0.09868941562714406,0.10282551780589035,0.055409727004476286,0.0010801284720638464,0.04741579080141408,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,R_AG,semantic,0.12890447469905622,0.12037662855265155,0.07089204079581342,-0.003615921159349261,0.04948458775683812,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,R_IFGtri,semantic,0.10968806029629793,0.1034487196967549,0.06796746783414111,-0.0035198100196834007,0.03548125186261379,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,R_TemporalPole,semantic,0.06992797866013052,0.0784183838431839,0.03834240539292509,-0.0023591712223986895,0.040075978450258815,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,R_pMTG,semantic,0.09686718728897538,0.09182744648301151,0.05641504042551455,0.0015984334595704765,0.035412406057496966,0.00019998000199980003,0.0002571171454283143,31
nllb_encoder,fr,L_Heschl,auditory,0.11708087286642177,0.12636129209955108,0.08198055941335892,0.048717785020223385,0.04438073268619213,9.999000099990002e-05,0.00016362000163620003,28
